,BEGIN_POST,END_POST,crash_num,crash,month,day,hour,min,zone_id
32,1.0,3.0,1,yes,3,5,22,19,6137.0
32,1.0,3.0,1,yes,3,5,22,19,7041.0
32,1.0,3.0,1,yes,3,5,22,19,6138.0
32,1.0,3.0,1,yes,3,5,22,19,6575.0
33,1.0,3.0,1,yes,3,13,11,5,6137.0
33,1.0,3.0,1,yes,3,13,11,5,7041.0
33,1.0,3.0,1,yes,3,13,11,5,6138.0
33,1.0,3.0,1,yes,3,13,11,5,6575.0
34,1.0,3.0,1,yes,2,10,9,40,6137.0
34,1.0,3.0,1,yes,2,10,9,40,7041.0
34,1.0,3.0,1,yes,2,10,9,40,6138.0
34,1.0,3.0,1,yes,2,10,9,40,6575.0
35,1.0,3.0,1,yes,2,18,3,21,6137.0
35,1.0,3.0,1,yes,2,18,3,21,7041.0
35,1.0,3.0,1,yes,2,18,3,21,6138.0
35,1.0,3.0,1,yes,2,18,3,21,6575.0
36,1.0,3.0,1,yes,2,20,10,30,6137.0
36,1.0,3.0,1,yes,2,20,10,30,7041.0
36,1.0,3.0,1,yes,2,20,10,30,6138.0
36,1.0,3.0,1,yes,2,20,10,30,6575.0
37,1.0,3.0,1,yes,2,14,11,10,6137.0
37,1.0,3.0,1,yes,2,14,11,10,7041.0
37,1.0,3.0,1,yes,2,14,11,10,6138.0
37,1.0,3.0,1,yes,2,14,11,10,6575.0
38,3.0,5.0,1,yes,3,6,20,11,6110.0
38,3.0,5.0,1,yes,3,6,20,11,6564.0
38,3.0,5.0,1,yes,3,6,20,11,6587.0
38,3.0,5.0,1,yes,3,6,20,11,6834.0
38,3.0,5.0,1,yes,3,6,20,11,7042.0
38,3.0,5.0,1,yes,3,6,20,11,7045.0
38,3.0,5.0,1,yes,3,6,20,11,7738.0
38,3.0,5.0,1,yes,3,6,20,11,9681.0
38,3.0,5.0,1,yes,3,6,20,11,9698.0
38,3.0,5.0,1,yes,3,6,20,11,9744.0
38,3.0,5.0,1,yes,3,6,20,11,9746.0
38,3.0,5.0,1,yes,3,6,20,11,9749.0
38,3.0,5.0,1,yes,3,6,20,11,9750.0
