zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"9698",I-4 WB @ MM 065.8-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at OSC MM065.8 WS,Unknown,FDOT,Radar,28.35266,-81.5273,,"60","30",0.6,,,,,,,,3.000000000000000,5.000000000000000,,
"9744",I-4 EB @ MM 067.9-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM067.9 ES,Unknown,FDOT,Radar,28.376656,-81.505186,,"60","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"9746",I-4 EB @ MM 068.6-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM068.6 ES,Unknown,FDOT,Radar,28.3823,-81.5001,,"60","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"9749",I-4 EB @ MM 070.9-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM070.9 ES,Unknown,FDOT,Radar,28.410162,-81.475231,,"60","30",0.6,,,,,,,,3.000000000000000,5.000000000000000,,
"9750",I-4 EB @ MM 070.3-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM070.3 ES,Unknown,FDOT,Radar,28.4032,-81.4813,,"60","30",0.6,,,,,,,,3.000000000000000,5.000000000000000,,
"9752",I-4 EB @ MM 069.0-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM069.0 ES,Unknown,FDOT,Radar,28.3877,-81.4952,,"60","30",0.4,,,,,,,,3.000000000000000,5.000000000000000,,
"6147",I-4 WB @ MM 066.5-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM066.5 WS,Unknown,FDOT,Radar,28.35975,-81.52096,,"65","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"6552",I-4 EB @ MM 069.7-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM069.7 ES,Unknown,FDOT,Radar,28.3965,-81.4873,,"65","30",0.6,,,,,,,,3.000000000000000,5.000000000000000,,
"6568",I-4 East of SR 535-link2,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM069.0 ES,Unknown,FDOT,Single Loop,28.3877,-81.4959,,"60","30",,,,,,,,,3.000000000000000,5.000000000000000,,
"6588",I-4 Ramp SR 535-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM068.6 WS,Unknown,FDOT,Single Loop,28.3823,-81.5007,,"60","30",,,,,,,,,3.000000000000000,5.000000000000000,,
